nome;sku;descricao;quantidade;preco;categoria
Eplerenone;42254-011;Bypass Innominate Artery to Bilateral Upper Leg Artery with Synthetic Substitute, Open Approach;59;2300.39;Comedy|Horror|Thriller
Covergirl Queen Collection All Day Flawless 3in1 Foundation;22700-149;Resection of Left Lower Arm and Wrist Tendon, Open Approach;38;3657.53;Documentary
Clonidine Hydrochloride;0517-0730;Restriction of Splenic Vein with Extraluminal Device, Open Approach;50;4866.35;Documentary
Intelence;59676-572;Drainage of Right Foot Muscle, Percutaneous Approach, Diagnostic;38;3172.88;Comedy
Chorionic Gonadotropin;63323-025;Division of Left Lower Leg Muscle, Percutaneous Endoscopic Approach;97;4042.02;Horror
acid controller;59779-194;Introduction of Blood Brain Barrier Disruption Substance into Peripheral Artery, Open Approach;36;600.23;Animation|Children|Fantasy
Oral-B NeutraCare Mint;0041-0241;Low Dose Rate (LDR) Brachytherapy of Diaphragm using Other Isotope;26;1748.27;Drama
acid reducer;41250-047;Division of Head and Neck Tendon, Open Approach;69;6048.83;Horror|Thriller
Petroleum;37808-519;Ultrasonography of Gallbladder and Bile Ducts;35;8787.29;Documentary
Mirtazapine;0093-7207;Supplement Chest Wall with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;32;3690.48;Comedy
LIP BALM;51414-300;Extirpation of Matter from Right Parotid Gland, Percutaneous Approach;14;7342.45;Comedy|Drama
Sodium Bicarbonate;52584-916;Beam Radiation of Stomach using Photons 1 - 10 MeV;82;8675.74;Drama
potassium chloride;0615-7694;Destruction of Left Wrist Joint, Percutaneous Approach;35;6656.24;Animation|Horror
Venlafaxine Hydrochloride;55700-002;Supplement Left Lower Arm and Wrist Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;64;8658.12;Drama|Film-Noir
Ludent;44946-1009;Restriction of Esophageal Vein with Extraluminal Device, Percutaneous Approach;75;4310.67;Drama
Bacti-Free tm;59854-300;Change Drainage Device in Female Perineum, External Approach;73;9683.33;Horror
Losartan Potassium;52125-428;Removal of Monitoring Device from Ureter, Percutaneous Approach;79;3536.42;Action|Comedy
VFEND;0049-3180;Excision of Right Finger Phalanx, Percutaneous Endoscopic Approach;38;889.63;Action|Adventure|Comedy
